Customer Name,Visit Date,Bank Name,Rating,Comment,bank_image
AMRENDRA  T,"Mar 21, 2020",SBI,🙂,"""Best saving""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
BISHWA,"Mar 20, 2020",SBI,😀,"""Good service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
SANTOSH,"Mar 20, 2020",Axis Bank,😀,"""Excellent Service""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
MAHADEV,"Mar 20, 2020",HDFC Bank,😀,"""Excellent service""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
MD,"Mar 20, 2020",IDBI,😀,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/idbi.png
DINESH K V,"Mar 20, 2020",SBI,🙂,"""Good account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
D,"Mar 20, 2020",Kotak,😀,"""Good service""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
N,"Mar 20, 2020",HDFC Bank,😀,"""Good""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
U,"Mar 19, 2020",Axis Bank,😀,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/axis.png
UN,"Mar 19, 2020",Kotak,😀,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/kotak.png
AK,"Mar 19, 2020",SBI,😀,"""Great""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
HI,"Mar 19, 2020",HDFC Bank,😀,"""Great bank """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
V,"Mar 19, 2020",SBI,🙂,"""Need to improve in service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
NAR,"Mar 19, 2020",Axis Bank,🙂,"""Good service""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
,"Mar 19, 2020",SBI,🙂,"""Need to improve service """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
R  PRASANNA,"Mar 19, 2020",HDFC Bank,🙂,"""Best  Service""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
MUN,"Mar 19, 2020",SBI,😀,"""Need to provide more offers""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
JHA,"Mar 18, 2020",IndusInd Bank,🙂,"""Good saving account """,https://static.bankbazaar.com/images/common/bank-logo/indusind.png
RA,"Mar 18, 2020",Axis Bank,🙂,"""Good card """,https://static.bankbazaar.com/images/common/bank-logo/axis.png
AY,"Mar 18, 2020",SBI,🙂,"""Apart private bank, atleast we should have SBI account """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
AKSHAY  JAIN,"Mar 18, 2020",HDFC Bank,🙂,"""Good account """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
AK,"Mar 18, 2020",Kotak,😀,"""Its a good account """,https://static.bankbazaar.com/images/common/bank-logo/kotak.png
K,"Mar 18, 2020",HDFC Bank,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ANONYMOUS,"Mar 18, 2020",SBI,😐,"""Need to decrease interest charge""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
V,"Mar 18, 2020",SBI,🙂,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ANONYMOUS,"Mar 18, 2020",HDFC Bank,😀,"""Need to provide other product offer """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
SHAN,"Mar 17, 2020",Kotak,🙂,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/kotak.png
GA,"Mar 17, 2020",SBI,🙂,"""Good account """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
PRAD,"Mar 17, 2020",Canara Bank,😐,"""Need to improve their service """,https://static.bankbazaar.com/images/common/bank-logo/canara-bank.png
KUMAR,"Mar 17, 2020",HDFC Bank,😀,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
D,"Mar 16, 2020",Canara Bank,🙂,"""Good bank""",https://static.bankbazaar.com/images/common/bank-logo/canara-bank.png
M,"Mar 16, 2020",Axis Bank,😀,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/axis.png
S,"Mar 16, 2020",SBI,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
G V N,"Mar 16, 2020",HDFC Bank,😀,"""Good customer service""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
S,"Mar 15, 2020",SBI,😀,"""Best account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
S,"Mar 15, 2020",Axis Bank,😀,"""Good savings account """,https://static.bankbazaar.com/images/common/bank-logo/axis.png
SHAILESH  P,"Mar 15, 2020",HDFC Bank,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
A  DAS,"Mar 15, 2020",HDFC Bank,😀,"""Excellent Service""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
V,"Mar 15, 2020",HDFC Bank,🙂,"""Best savings account cums salary """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
S,"Mar 14, 2020",Citibank,😀,"""Need to decrease the minimum balance """,https://static.bankbazaar.com/images/common/bank-logo/citibank.png
G H,"Mar 14, 2020",Axis Bank,😐,"""Minimum balance is so high which should be low""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
S,"Mar 14, 2020",Axis Bank,😀,"""Best service """,https://static.bankbazaar.com/images/common/bank-logo/axis.png
M S K,"Mar 13, 2020",HDFC Bank,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
T PRAKASH,"Mar 13, 2020",HDFC Bank,😀,"""Best account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
SM,"Mar 13, 2020",HDFC Bank,😐,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
B G H,"Mar 13, 2020",Axis Bank,😀,"""Best account""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
D,"Mar 13, 2020",HDFC Bank,😀,"""Best bank""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
Aarti,"Mar 12, 2020",Axis Bank,😠,"""Bad Customer support""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
YADAV,"Mar 12, 2020",SBI,🙂,"""They can improve the interest rate on savings account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
